Fold,RMSE,MAE,R2
1,2479.982871056904,1466.3816873214073,0.9377114049436653
2,2810.7368452409482,1555.942105257671,0.933522703006318
3,2792.6290163776566,1500.242599768281,0.9415858475278138
4,2785.4183447154464,1468.982261465683,0.9387412537136139
5,2485.6729074914906,1526.6224058650798,0.9362020877768729
Average,2670.8879969764894,1503.6342119356245,0.9375526593936568
