Linear Regression,Support Vector Regressor,Random Forest Regressor
"{'fold': 1, 'best_n_features': 11, 'train_mse': 0.0008548779052604216, 'train_mae': 0.02143436437939974, 'val_mse': 0.0009106650175518762, 'val_mae': 0.02177587038678011, 'selected_features': ['mileage', 'mpg', 'engineSize', 'car_age', 'model_encoded', 'transmission_Automatic', 'transmission_Manual', 'transmission_Semi-Auto', 'fuelType_Diesel', 'fuelType_Eletric', 'fuelType_Petrol'], 'feature_rankings': [1, 3, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 2, 1]}","{'fold': 1, 'best_n_features': 9, 'train_mse': 0.0015389319026345018, 'train_mae': 0.03209598472234174, 'val_mse': 0.0016523925718260118, 'val_mae': 0.03262658387109699, 'selected_features': ['mileage', 'tax', 'mpg', 'engineSize', 'car_age', 'model_encoded', 'transmission_Manual', 'transmission_Semi-Auto', 'fuelType_Hybrid'], 'feature_rankings': [1, 1, 1, 1, 5, 1, 1, 2, 1, 1, 3, 6, 1, 4]}","{'fold': 1, 'best_n_features': 12, 'train_mse': 5.605043918920393e-05, 'train_mae': 0.005162796116487082, 'val_mse': 0.0004236756239674853, 'val_mae': 0.013969812708878942, 'selected_features': ['mileage', 'tax', 'mpg', 'engineSize', 'previousOwners', 'car_age', 'model_encoded', 'transmission_Automatic', 'transmission_Manual', 'transmission_Semi-Auto', 'fuelType_Diesel', 'fuelType_Petrol'], 'feature_rankings': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1]}"
"{'fold': 2, 'best_n_features': 14, 'train_mse': 0.0008617851236996003, 'train_mae': 0.02136965723452047, 'val_mse': 0.0009704410148374674, 'val_mae': 0.021896003386358456, 'selected_features': ['mileage', 'tax', 'mpg', 'engineSize', 'previousOwners', 'car_age', 'model_encoded', 'transmission_Automatic', 'transmission_Manual', 'transmission_Semi-Auto', 'fuelType_Diesel', 'fuelType_Eletric', 'fuelType_Hybrid', 'fuelType_Petrol'], 'feature_rankings': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}","{'fold': 2, 'best_n_features': 3, 'train_mse': 0.0012424223533710201, 'train_mae': 0.0258083459473083, 'val_mse': 0.00140281054334105, 'val_mae': 0.02642357725600482, 'selected_features': ['engineSize', 'car_age', 'model_encoded'], 'feature_rankings': [2, 4, 5, 1, 11, 1, 1, 8, 3, 7, 9, 12, 6, 10]}","{'fold': 2, 'best_n_features': 13, 'train_mse': 5.884837592819952e-05, 'train_mae': 0.0052135493041295, 'val_mse': 0.00046214839429905896, 'val_mae': 0.01416813542522534, 'selected_features': ['mileage', 'tax', 'mpg', 'engineSize', 'previousOwners', 'car_age', 'model_encoded', 'transmission_Automatic', 'transmission_Manual', 'transmission_Semi-Auto', 'fuelType_Diesel', 'fuelType_Hybrid', 'fuelType_Petrol'], 'feature_rankings': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]}"
"{'fold': 3, 'best_n_features': 11, 'train_mse': 0.0008318037304309577, 'train_mae': 0.021072938852615433, 'val_mse': 0.0009081850345956014, 'val_mae': 0.02186606121406538, 'selected_features': ['mileage', 'mpg', 'engineSize', 'car_age', 'model_encoded', 'transmission_Automatic', 'transmission_Manual', 'transmission_Semi-Auto', 'fuelType_Diesel', 'fuelType_Eletric', 'fuelType_Petrol'], 'feature_rankings': [1, 2, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 3, 1]}","{'fold': 3, 'best_n_features': 12, 'train_mse': 0.0014342014374315619, 'train_mae': 0.03075439840263497, 'val_mse': 0.0015880646826158754, 'val_mae': 0.031885519265629984, 'selected_features': ['mileage', 'tax', 'mpg', 'engineSize', 'car_age', 'model_encoded', 'transmission_Automatic', 'transmission_Manual', 'transmission_Semi-Auto', 'fuelType_Diesel', 'fuelType_Hybrid', 'fuelType_Petrol'], 'feature_rankings': [1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1]}","{'fold': 3, 'best_n_features': 11, 'train_mse': 5.539727814188657e-05, 'train_mae': 0.005088478608672321, 'val_mse': 0.0004203381524875496, 'val_mae': 0.013951954123460043, 'selected_features': ['mileage', 'tax', 'mpg', 'engineSize', 'previousOwners', 'car_age', 'model_encoded', 'transmission_Automatic', 'transmission_Manual', 'fuelType_Diesel', 'fuelType_Petrol'], 'feature_rankings': [1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 4, 3, 1]}"
"{'fold': 4, 'best_n_features': 11, 'train_mse': 0.0008152057648200918, 'train_mae': 0.020979948872198066, 'val_mse': 0.0009623411458121987, 'val_mae': 0.021799771296034498, 'selected_features': ['mileage', 'mpg', 'engineSize', 'car_age', 'model_encoded', 'transmission_Automatic', 'transmission_Manual', 'transmission_Semi-Auto', 'fuelType_Diesel', 'fuelType_Eletric', 'fuelType_Petrol'], 'feature_rankings': [1, 3, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 2, 1]}","{'fold': 4, 'best_n_features': 10, 'train_mse': 0.0014677389691149414, 'train_mae': 0.031362424927283056, 'val_mse': 0.001673399563961367, 'val_mae': 0.03250426614854806, 'selected_features': ['mileage', 'tax', 'mpg', 'engineSize', 'car_age', 'model_encoded', 'transmission_Automatic', 'transmission_Manual', 'transmission_Semi-Auto', 'fuelType_Hybrid'], 'feature_rankings': [1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 3, 5, 1, 2]}","{'fold': 4, 'best_n_features': 13, 'train_mse': 5.453653449327525e-05, 'train_mae': 0.00509025181618525, 'val_mse': 0.00042895522317608527, 'val_mae': 0.013894285728751368, 'selected_features': ['mileage', 'tax', 'mpg', 'engineSize', 'previousOwners', 'car_age', 'model_encoded', 'transmission_Automatic', 'transmission_Manual', 'transmission_Semi-Auto', 'fuelType_Diesel', 'fuelType_Hybrid', 'fuelType_Petrol'], 'feature_rankings': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]}"
"{'fold': 5, 'best_n_features': 12, 'train_mse': 0.0008552278764238478, 'train_mae': 0.02121778645659417, 'val_mse': 0.0009233262740856886, 'val_mae': 0.021931506600937865, 'selected_features': ['mileage', 'tax', 'mpg', 'engineSize', 'car_age', 'model_encoded', 'transmission_Automatic', 'transmission_Manual', 'transmission_Semi-Auto', 'fuelType_Diesel', 'fuelType_Eletric', 'fuelType_Petrol'], 'feature_rankings': [1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1]}","{'fold': 5, 'best_n_features': 3, 'train_mse': 0.001238790822465067, 'train_mae': 0.02583812077846885, 'val_mse': 0.0013752605415375755, 'val_mae': 0.02669085257434394, 'selected_features': ['engineSize', 'car_age', 'model_encoded'], 'feature_rankings': [2, 4, 5, 1, 11, 1, 1, 10, 3, 7, 8, 12, 6, 9]}","{'fold': 5, 'best_n_features': 14, 'train_mse': 5.839156923131521e-05, 'train_mae': 0.005180905503993941, 'val_mse': 0.00042070762763383735, 'val_mae': 0.014061374247104996, 'selected_features': ['mileage', 'tax', 'mpg', 'engineSize', 'previousOwners', 'car_age', 'model_encoded', 'transmission_Automatic', 'transmission_Manual', 'transmission_Semi-Auto', 'fuelType_Diesel', 'fuelType_Eletric', 'fuelType_Hybrid', 'fuelType_Petrol'], 'feature_rankings': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}"
