Fold,RMSE,MAE,R2
1,2176.982286194036,1338.5072752934366,0.9477107681368659
2,2535.936658969021,1388.493703242637,0.9442914496620802
3,2499.5135878821266,1377.702612289325,0.9486095654838719
4,2603.5122464219316,1370.4260559200961,0.9461841266938589
5,2237.6495466382603,1366.5530309498897,0.9473580098175503
Average,2410.7188652210752,1368.3365355390767,0.9468307839588455
