Fold,RMSE,MAE,R2
1,2867.8833191092854,1678.470805760479,0.9117635789284517
2,3248.7252904585007,1738.6098447991874,0.9063722841077229
3,2958.485148255093,1697.3593176379238,0.9146689977837731
4,3028.497106787729,1695.9659705808037,0.9113667205867629
5,3013.7329877861366,1672.770055710654,0.9128559084062127
Average,3023.4647704793488,1696.6351988978095,0.9114054979625846
