Fold,RMSE,MAE,R2
1,2677.7041712096534,1564.7579745860298,0.9287447541592317
2,3050.894116146461,1667.2241809988252,0.9245389595961275
3,3005.8391834824615,1600.4517300828827,0.9324280832718905
4,3021.509411760719,1577.2069884352427,0.9289813037080414
5,2700.3672718386147,1642.4703076862556,0.9274656204725057
Average,2891.262830887582,1610.4222363578472,0.9284317442415594
