Fold,RMSE,MAE,R2
1,2135.617683534194,1309.7792093912853,0.9494291385419404
2,2482.4768061548853,1357.6229825628925,0.9453602738249591
3,2408.062017186531,1343.7008060522558,0.9500857159404913
4,2533.51520375854,1339.0532519592987,0.9474586242516935
5,2176.542704927542,1331.8030283351236,0.9493651459106903
Average,2347.242883112339,1336.3918556601711,0.9483397796939549
