Fold,RMSE,MAE,R2
1,3569.2777945144367,2149.251791685229,0.8912901530426285
2,3875.9786856314795,2223.04662407095,0.883975571715892
3,3887.052021308955,2235.954315391643,0.8907416657165979
4,3951.1418183138876,2203.1109663013713,0.8814042183016585
5,3548.9765833405227,2189.1779562529296,0.8883882416742247
Average,3766.485380621856,2200.1083307404247,0.8871599700902003
