Fold,RMSE,MAE,R2
1,2748.4338606105866,1777.7405935679715,0.9194143366418168
2,3133.306768870536,1832.2306357041261,0.9150016405915201
3,3027.9945783471067,1837.9863597555861,0.9184779721703129
4,3180.453615083165,1835.7079845864519,0.9167589316881385
5,2906.3391307546904,1841.4595974400181,0.9166148356047802
Average,2999.305590733217,1825.0250342108309,0.9172535433393136
