Fold,RMSE,MAE,R2
1,2863.2340452098306,1657.9830725943166,0.919220579621984
2,3403.592354499577,1832.7720446296712,0.8875153336931693
3,3142.412708569494,1672.3941058855116,0.9238657860982318
4,3217.677241465315,1661.9974531111816,0.9184219964552541
5,3063.5982215703334,1810.7484367464237,0.8874375365402721
Average,3138.10291426291,1727.1790225934212,0.9072922464817823
