Fold,RMSE,MAE,R2
1,2677.857711163716,1565.0115519920294,0.9287348457376318
2,3050.799751306939,1667.1163237318262,0.9245382162620507
3,3010.6089411267194,1601.817352931504,0.932349637057303
4,3021.4446885162274,1577.0321207086104,0.9289900872214303
5,2700.149470580708,1642.3732643770531,0.9274840530954576
Average,2892.172112538862,1610.6701227482044,0.9284193678747747
