Fold,RMSE,MAE,R2
1,2787.8703634138683,1787.4763361079952,0.9250518314997984
2,3138.1296981414484,1835.421545082607,0.9227659039580236
3,3119.863971250824,1830.2849452796759,0.9284629447399123
4,3141.3428554992197,1807.9023002714334,0.9226759910960242
5,2795.4089647293004,1808.7513796255932,0.9247222951446501
Average,2996.5231706069326,1813.9673012734609,0.9247357932876816
