Fold,RMSE,MAE,R2
1,2110.6141613231753,1297.1262225133232,0.9498275343877022
2,2435.704684340701,1342.112754538704,0.9458746951347882
3,2384.164060414454,1333.356030348219,0.9502414223506968
4,2509.0886616565545,1326.154329043718,0.9478222100301983
5,2153.2778937617845,1318.0962272641268,0.9497566797184079
Average,2318.569892299334,1323.3691127416182,0.9487045083243586
