Fold,RMSE,MAE,R2
1,2864.253134384275,1658.2953667201866,0.919299466580739
2,3404.323439315042,1836.5413026242747,0.8862602075929659
3,3149.683696487653,1673.2155135444787,0.9237670523619371
4,3218.5101712450714,1662.156278249148,0.9184556588458813
5,3068.1778540041823,1810.8565103671547,0.8875842920320246
Average,3140.989659087244,1728.2129943010484,0.9070733354827096
