Fold,RMSE,MAE,R2
1,2527.491828856946,1542.7650815137358,0.9275404529393023
2,2903.3146736130593,1583.3961285703176,0.922579410239124
3,2732.113108785711,1572.3255228047992,0.9291580311407579
4,2908.753820181751,1591.279392510655,0.9262304383835158
5,2639.6561039660032,1588.7907061403241,0.9263863381222837
Average,2742.265907080694,1575.7113663079663,0.9263789341649968
