Linear Regression,Support Vector Regressor,Random Forest Regressor
"{'fold': 1, 'best_n_features': 8, 'train_mse': 0.0008626241385046671, 'train_mae': 0.021536724125393685, 'val_mse': 0.0009153985056962022, 'val_mae': 0.021841183657699416, 'selected_features': ['mileage', 'mpg', 'engineSize', 'car_age', 'model_encoded', 'transmission_Manual', 'fuelType_Diesel', 'fuelType_Eletric'], 'feature_rankings': [1, 6, 1, 1, 7, 1, 1, 4, 1, 3, 1, 1, 5, 2]}","{'fold': 1, 'best_n_features': 8, 'train_mse': 0.0015404550125054728, 'train_mae': 0.03213961341494984, 'val_mse': 0.0016600512500178864, 'val_mae': 0.03268766370103387, 'selected_features': ['mileage', 'tax', 'mpg', 'engineSize', 'car_age', 'model_encoded', 'transmission_Manual', 'fuelType_Hybrid'], 'feature_rankings': [1, 1, 1, 1, 6, 1, 1, 3, 1, 2, 4, 7, 1, 5]}","{'fold': 1, 'best_n_features': 11, 'train_mse': 5.694785981393384e-05, 'train_mae': 0.005166794397186671, 'val_mse': 0.0004252192719567878, 'val_mae': 0.013956296941560822, 'selected_features': ['mileage', 'tax', 'mpg', 'engineSize', 'previousOwners', 'car_age', 'model_encoded', 'transmission_Automatic', 'transmission_Manual', 'fuelType_Diesel', 'fuelType_Petrol'], 'feature_rankings': [1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 4, 3, 1]}"
"{'fold': 2, 'best_n_features': 14, 'train_mse': 0.0008617851236996003, 'train_mae': 0.021369657234520473, 'val_mse': 0.0009704410148374682, 'val_mae': 0.02189600338635847, 'selected_features': ['mileage', 'tax', 'mpg', 'engineSize', 'previousOwners', 'car_age', 'model_encoded', 'transmission_Automatic', 'transmission_Manual', 'transmission_Semi-Auto', 'fuelType_Diesel', 'fuelType_Eletric', 'fuelType_Hybrid', 'fuelType_Petrol'], 'feature_rankings': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}","{'fold': 2, 'best_n_features': 3, 'train_mse': 0.0012424223533709625, 'train_mae': 0.02580834594730768, 'val_mse': 0.0014028105433410716, 'val_mae': 0.02642357725600444, 'selected_features': ['engineSize', 'car_age', 'model_encoded'], 'feature_rankings': [2, 4, 5, 1, 11, 1, 1, 8, 3, 7, 9, 12, 6, 10]}","{'fold': 2, 'best_n_features': 13, 'train_mse': 5.885438670563466e-05, 'train_mae': 0.005213688395919798, 'val_mse': 0.0004615299803580787, 'val_mae': 0.014173933204144564, 'selected_features': ['mileage', 'tax', 'mpg', 'engineSize', 'previousOwners', 'car_age', 'model_encoded', 'transmission_Automatic', 'transmission_Manual', 'transmission_Semi-Auto', 'fuelType_Diesel', 'fuelType_Hybrid', 'fuelType_Petrol'], 'feature_rankings': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]}"
"{'fold': 3, 'best_n_features': 11, 'train_mse': 0.0008317872433990587, 'train_mae': 0.02107161587086797, 'val_mse': 0.0009083770785751537, 'val_mae': 0.02186716991948645, 'selected_features': ['mileage', 'mpg', 'engineSize', 'car_age', 'model_encoded', 'transmission_Automatic', 'transmission_Manual', 'transmission_Semi-Auto', 'fuelType_Diesel', 'fuelType_Eletric', 'fuelType_Petrol'], 'feature_rankings': [1, 2, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 3, 1]}","{'fold': 3, 'best_n_features': 9, 'train_mse': 0.0014332866007701654, 'train_mae': 0.030714041282436478, 'val_mse': 0.001583304544699668, 'val_mae': 0.031825262970712156, 'selected_features': ['mileage', 'tax', 'mpg', 'engineSize', 'car_age', 'model_encoded', 'transmission_Manual', 'transmission_Semi-Auto', 'fuelType_Hybrid'], 'feature_rankings': [1, 1, 1, 1, 5, 1, 1, 4, 1, 1, 2, 6, 1, 3]}","{'fold': 3, 'best_n_features': 11, 'train_mse': 5.4968963384999765e-05, 'train_mae': 0.005077852869979436, 'val_mse': 0.00041955816447059236, 'val_mae': 0.013946690376660256, 'selected_features': ['mileage', 'tax', 'mpg', 'engineSize', 'previousOwners', 'car_age', 'model_encoded', 'transmission_Automatic', 'transmission_Manual', 'fuelType_Diesel', 'fuelType_Petrol'], 'feature_rankings': [1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 4, 3, 1]}"
"{'fold': 4, 'best_n_features': 10, 'train_mse': 0.0008152372501473392, 'train_mae': 0.02097971272397207, 'val_mse': 0.0009606378253381758, 'val_mae': 0.021793773175954687, 'selected_features': ['mileage', 'mpg', 'engineSize', 'car_age', 'model_encoded', 'transmission_Manual', 'transmission_Semi-Auto', 'fuelType_Diesel', 'fuelType_Eletric', 'fuelType_Petrol'], 'feature_rankings': [1, 4, 1, 1, 5, 1, 1, 2, 1, 1, 1, 1, 3, 1]}","{'fold': 4, 'best_n_features': 10, 'train_mse': 0.001468562237120948, 'train_mae': 0.031376154990469196, 'val_mse': 0.0016727587379862466, 'val_mae': 0.032512630111420956, 'selected_features': ['mileage', 'tax', 'mpg', 'engineSize', 'car_age', 'model_encoded', 'transmission_Automatic', 'transmission_Manual', 'transmission_Semi-Auto', 'fuelType_Hybrid'], 'feature_rankings': [1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 3, 5, 1, 2]}","{'fold': 4, 'best_n_features': 13, 'train_mse': 5.465255243134366e-05, 'train_mae': 0.00508741233094133, 'val_mse': 0.00042849982648970967, 'val_mae': 0.013914492915743554, 'selected_features': ['mileage', 'tax', 'mpg', 'engineSize', 'previousOwners', 'car_age', 'model_encoded', 'transmission_Automatic', 'transmission_Manual', 'transmission_Semi-Auto', 'fuelType_Diesel', 'fuelType_Hybrid', 'fuelType_Petrol'], 'feature_rankings': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]}"
"{'fold': 5, 'best_n_features': 12, 'train_mse': 0.0008551635465704676, 'train_mae': 0.021217216148115156, 'val_mse': 0.0009233293188728078, 'val_mae': 0.021931594825396163, 'selected_features': ['mileage', 'tax', 'mpg', 'engineSize', 'car_age', 'model_encoded', 'transmission_Automatic', 'transmission_Manual', 'transmission_Semi-Auto', 'fuelType_Diesel', 'fuelType_Eletric', 'fuelType_Petrol'], 'feature_rankings': [1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1]}","{'fold': 5, 'best_n_features': 3, 'train_mse': 0.001238784240258393, 'train_mae': 0.025838030347913914, 'val_mse': 0.0013752572494918752, 'val_mae': 0.026690795193540024, 'selected_features': ['engineSize', 'car_age', 'model_encoded'], 'feature_rankings': [2, 4, 5, 1, 11, 1, 1, 10, 3, 7, 8, 12, 6, 9]}","{'fold': 5, 'best_n_features': 13, 'train_mse': 5.843587438898881e-05, 'train_mae': 0.00517887502025622, 'val_mse': 0.0004226550443403864, 'val_mae': 0.014062166695840893, 'selected_features': ['mileage', 'tax', 'mpg', 'engineSize', 'previousOwners', 'car_age', 'model_encoded', 'transmission_Automatic', 'transmission_Manual', 'transmission_Semi-Auto', 'fuelType_Diesel', 'fuelType_Hybrid', 'fuelType_Petrol'], 'feature_rankings': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]}"
