Fold,RMSE,MAE,R2
1,3572.237696538276,2150.1487884506914,0.8904492401749897
2,3875.9786856315573,2223.046624070982,0.8839755717158925
3,3887.4680992791564,2236.0735830883154,0.8907191791752139
4,3950.5357701361404,2202.8662807101528,0.8816179993299761
5,3548.9597256654056,2189.175650772528,0.8883878666975716
Average,3767.0359954501073,2200.262185418534,0.8870299714187289
